K10C3.3,ZIG-1
F42F12.2,ZIG-2
C14F5.2,ZIG-3
C09C7.1,ZIG-4
Y48A6A.1,ZIG-5
T03G11.8,ZIG-6
F54D7.4,ZIG-7
Y39E4B.8,ZIG-8
Y119C1B.9,ZIG-9
T25D10.2b,ZIG-10
Y32G9A.8a,ZIG-11
M02D8.1,ZIG-12
B0507.1,/
C25E10.7,/
C25E10.8,/
C25E10.9a,SWM-1
C26C6.3,NAS-36
C34C6.3,/
C37C3.7,TXT-5
C44H4.1,LRON-1
C53B7.1,RIG-3
F09E8.2a,CRLD-1
F10F2.4,LRON-5
F11C7.2,/
F11C7.6a,/
F11C7.7,/
F14H12.3,/
F15B9.8,/
F20D1.7,IGLR-1
F21A3.3,/
F23H12.5,/
F35C11.7,/
F35D2.3,/
F39H12.4,IGCM-1
F40A3.2,/
F40E10.4,SLT-1
F41D9.3e,WRK-1
F48C5.1,IGEG-2
F58B3.8,DSL-5
F58G4.4,SDZ-23
F58H1.6,/
F59F3.1,VER-3
H02I12.4,DSL-6
H22K11.4a,SGCA-1
H30A04.1a,EAT-20
K03D10.1,KAL-1
K09C8.5,PXN-2
M03F4.6,/
R17.3b,SBSP-1
R151.5,DPY-31
T01D3.6a,/
T21B6.1,DGN-1
T22E7.1a,LRON-8
T25F10.3,/
W09G12.4,DSL-1
Y38F1A.9,OIG-2
Y41D4B.10a,DSL-3
Y73C8B.4,LAG-2
Y73E7A.8,/
ZK682.5,LRON-2
ZK1193.2,/
M88.6b,PAN-1
T05A1.3a,LRON-14
T23G11.6a,LRON-9
C17E7.10  ,IRLD-22
C41G6.6  ,IRLD-25
F02C9.4  ,IRLD-3
F11A5.7  ,IRLD-26
F13B12.5,INS-1
F54G8.1  ,IRLD-34
Y39A1A.7  ,LRON-10
Y53H1B.2,/
F40E10.4,SLT-1N
F40E10.4,SLT-1C
F41C6.1,UNC-6S
F41C6.1,UNC-6
C40C9.5e,NLG-1
F11A6.1a,KPC-1
F53B6.2a,MADD-4
K05F1.5,LECT-2
T01G9.3,DMA-1
W01F3.1a,MNR-1
K02E10.8b,SYG-1
C26G2.1a,SYG-2
T19B4.7,UNC-40
B0273.4a,UNC-5
C18F3.2c,SAX-7
B0457.1a,LAT-1
F15B9.7a,FMI-1
Y71H2AM.10,TMEM-132
F49E11.5,SCL-10
B0222.11,/
B0365.6,CLEC-41
B0416.2,/
C02B8.12,/
C04A11.4,ADM-2
C05D9.9b  ,/
C05D11.4,LET-756
C05D12.2,/
R03G5.3,IRLD-13
